id,firstname,lastname,email,status,Department
135,Cherrita,Chaing,Cherrita.Chaing@jbu.edu,Employee,Business
136,Starla,Syd,Starla.Syd@jbu.edu,Applicant,Engineering
137,Marti,Saree,Marti.Saree@jbu.edu,Applicant,Politics
138,Florie,Chandler,Florie.Chandler@jbu.edu,Professor,Mathematics
139,Consuela,Fabiola,Consuela.Fabiola@jbu.edu,Applicant,Religion
140,Carol-Jean,Alwin,Carol-Jean.Alwin@jbu.edu,Student,Politics
141,Jacenta,Rona,Jacenta.Rona@jbu.edu,Student,Sciences
142,Constance,Turne,Constance.Turne@jbu.edu,Applicant,Politics
143,Ana,Lacombe,Ana.Lacombe@jbu.edu,Employee,Politics
144,Lizzie,Mauer,Lizzie.Mauer@jbu.edu,Applicant,Nursing
145,Nonnah,Orelee,Nonnah.Orelee@jbu.edu,Professor,Kinesiology
146,Renae,Sancho,Renae.Sancho@jbu.edu,Employee,Engineering
147,Kore,Reinke,Kore.Reinke@jbu.edu,Professor,Religion
148,Cindelyn,Bashemeth,Cindelyn.Bashemeth@jbu.edu,Student,Mathematics
149,Carlie,Mandler,Carlie.Mandler@jbu.edu,Applicant,Mathematics
150,Daryl,Riva,Daryl.Riva@jbu.edu,Professor,Mathematics
151,Alia,Orpah,Alia.Orpah@jbu.edu,Student,Mathematics
152,Joleen,Dulciana,Joleen.Dulciana@jbu.edu,Student,Business
153,Viki,Kress,Viki.Kress@jbu.edu,Applicant,Nursing
154,Chere,Cottle,Chere.Cottle@jbu.edu,Student,Politics
155,Bibby,Shuler,Bibby.Shuler@jbu.edu,Applicant,Kinesiology
156,Beatriz,Peti,Beatriz.Peti@jbu.edu,Employee,Kinesiology
157,Sean,Teddman,Sean.Teddman@jbu.edu,Professor,Sciences
158,Aeriela,Dituri,Aeriela.Dituri@jbu.edu,Professor,Mathematics
159,Jolyn,Klemperer,Jolyn.Klemperer@jbu.edu,Professor,Religion
160,Binny,Annabella,Binny.Annabella@jbu.edu,Employee,Politics
161,Phedra,Damarra,Phedra.Damarra@jbu.edu,Employee,Kinesiology
162,Jean,Ries,Jean.Ries@jbu.edu,Employee,Computer Science
163,Karlee,Karna,Karlee.Karna@jbu.edu,Professor,Business
164,Shirlee,Harned,Shirlee.Harned@jbu.edu,Professor,Sciences
165,Basia,Bultman,Basia.Bultman@jbu.edu,Student,Politics
166,Raina,Hirsch,Raina.Hirsch@jbu.edu,Employee,Kinesiology
167,Glenda,Erskine,Glenda.Erskine@jbu.edu,Employee,Religion
168,Alyssa,Beebe,Alyssa.Beebe@jbu.edu,Employee,Business
169,Alyssa,Gemini,Alyssa.Gemini@jbu.edu,Applicant,Kinesiology
170,Daune,Jammal,Daune.Jammal@jbu.edu,Student,Nursing
171,Morganica,Buckler,Morganica.Buckler@jbu.edu,Applicant,Religion
172,Merci,Deegan,Merci.Deegan@jbu.edu,Professor,Sciences
173,Annora,Brunell,Annora.Brunell@jbu.edu,Professor,Business
174,Agnese,Afton,Agnese.Afton@jbu.edu,Employee,Mathematics
175,Esmeralda,Blisse,Esmeralda.Blisse@jbu.edu,Student,Business
176,Siana,McGrody,Siana.McGrody@jbu.edu,Employee,Nursing
177,Danny,Rosette,Danny.Rosette@jbu.edu,Employee,Nursing
178,Brandise,Katrine,Brandise.Katrine@jbu.edu,Employee,Kinesiology
179,Leontine,Strephon,Leontine.Strephon@jbu.edu,Student,Computer Science
180,Morganica,Zrike,Morganica.Zrike@jbu.edu,Professor,Sciences
181,Paulita,Roumell,Paulita.Roumell@jbu.edu,Professor,Kinesiology
182,Carree,Atcliffe,Carree.Atcliffe@jbu.edu,Professor,Kinesiology
183,Loree,Bury,Loree.Bury@jbu.edu,Applicant,Computer Science
184,Joy,Wilona,Joy.Wilona@jbu.edu,Student,Politics
185,Peri,Fitzsimmons,Peri.Fitzsimmons@jbu.edu,Professor,Sciences
186,Robinia,Howlyn,Robinia.Howlyn@jbu.edu,Professor,Politics
187,Cacilie,Dosia,Cacilie.Dosia@jbu.edu,Professor,Engineering
188,Roseline,Roscoe,Roseline.Roscoe@jbu.edu,Applicant,Business
189,Cyndie,Granoff,Cyndie.Granoff@jbu.edu,Applicant,Engineering
190,Carilyn,Cottle,Carilyn.Cottle@jbu.edu,Student,Computer Science
191,Justinn,Granoff,Justinn.Granoff@jbu.edu,Student,Kinesiology
192,Basia,Artie,Basia.Artie@jbu.edu,Professor,Sciences
193,Deane,Lytton,Deane.Lytton@jbu.edu,Professor,Business
194,Sue,Cullin,Sue.Cullin@jbu.edu,Student,Politics
195,Jan,Vary,Jan.Vary@jbu.edu,Professor,Business
196,Susette,Leler,Susette.Leler@jbu.edu,Applicant,Mathematics
197,Lorenza,Iaverne,Lorenza.Iaverne@jbu.edu,Employee,Mathematics
198,Ginnie,Ortrude,Ginnie.Ortrude@jbu.edu,Applicant,Engineering
199,Ginnie,Drisko,Ginnie.Drisko@jbu.edu,Student,Business
200,Olivette,Ovid,Olivette.Ovid@jbu.edu,Employee,Religion
201,Kenna,Heidt,Kenna.Heidt@jbu.edu,Employee,Religion
202,Stephanie,Christine,Stephanie.Christine@jbu.edu,Employee,Kinesiology
203,Concettina,Christal,Concettina.Christal@jbu.edu,Student,Computer Science
204,Lulita,Nance,Lulita.Nance@jbu.edu,Employee,Politics
205,Almeta,Allys,Almeta.Allys@jbu.edu,Applicant,Mathematics
206,Rosaline,Moseley,Rosaline.Moseley@jbu.edu,Professor,Nursing
207,Bernie,Nisbet,Bernie.Nisbet@jbu.edu,Student,Politics
208,Amara,Vivle,Amara.Vivle@jbu.edu,Applicant,Engineering
209,Mallory,Kristi,Mallory.Kristi@jbu.edu,Applicant,Engineering
210,Alex,Gale,Alex.Gale@jbu.edu,Student,Business
211,Ardys,Granoff,Ardys.Granoff@jbu.edu,Professor,Sciences
212,Jennica,Nance,Jennica.Nance@jbu.edu,Student,Mathematics
213,Misha,Fitzsimmons,Misha.Fitzsimmons@jbu.edu,Applicant,Politics
214,Gianina,Cristi,Gianina.Cristi@jbu.edu,Employee,Kinesiology
215,Xylina,Ajay,Xylina.Ajay@jbu.edu,Employee,Politics
216,Jessy,Primalia,Jessy.Primalia@jbu.edu,Student,Mathematics
217,Susette,Charity,Susette.Charity@jbu.edu,Employee,Business
218,Marnia,Ehrman,Marnia.Ehrman@jbu.edu,Professor,Mathematics
219,Dorothy,Maryanne,Dorothy.Maryanne@jbu.edu,Professor,Politics
220,Helena,Sinegold,Helena.Sinegold@jbu.edu,Professor,Religion
221,Doralynne,Prouty,Doralynne.Prouty@jbu.edu,Applicant,Engineering
222,Adriana,Klemperer,Adriana.Klemperer@jbu.edu,Professor,Nursing
223,Sheelagh,Grimbly,Sheelagh.Grimbly@jbu.edu,Professor,Kinesiology
224,Annice,Warthman,Annice.Warthman@jbu.edu,Student,Engineering
225,Merry,Gerge,Merry.Gerge@jbu.edu,Employee,Business
226,Lulita,Gahl,Lulita.Gahl@jbu.edu,Applicant,Politics
227,Halette,Riva,Halette.Riva@jbu.edu,Student,Business
228,Kristan,Maxi,Kristan.Maxi@jbu.edu,Employee,Nursing
229,Ilse,Sholley,Ilse.Sholley@jbu.edu,Employee,Politics
230,Sibella,Chesna,Sibella.Chesna@jbu.edu,Employee,Mathematics
231,Aryn,Podvin,Aryn.Podvin@jbu.edu,Employee,Business
232,Chickie,Orpah,Chickie.Orpah@jbu.edu,Employee,Religion
233,Giustina,Brittani,Giustina.Brittani@jbu.edu,Student,Religion
234,Gusty,Carmena,Gusty.Carmena@jbu.edu,Professor,Mathematics
235,Nelle,Vastah,Nelle.Vastah@jbu.edu,Employee,Mathematics
236,Rozele,Heidt,Rozele.Heidt@jbu.edu,Student,Sciences
237,Petronia,Denis,Petronia.Denis@jbu.edu,Employee,Engineering
238,Lisette,Sandye,Lisette.Sandye@jbu.edu,Employee,Sciences
239,Minne,Afton,Minne.Afton@jbu.edu,Employee,Religion
240,Marleah,Joni,Marleah.Joni@jbu.edu,Employee,Religion
241,Rani,Lilybelle,Rani.Lilybelle@jbu.edu,Professor,Mathematics
242,Sarette,Hazlett,Sarette.Hazlett@jbu.edu,Professor,Sciences
243,Jasmina,Merat,Jasmina.Merat@jbu.edu,Employee,Computer Science
244,Cecile,Alarise,Cecile.Alarise@jbu.edu,Student,Mathematics
245,Eve,Edison,Eve.Edison@jbu.edu,Student,Nursing
246,Eve,Ailyn,Eve.Ailyn@jbu.edu,Professor,Computer Science
247,Brana,Ludewig,Brana.Ludewig@jbu.edu,Student,Sciences
248,Pollyanna,Orelee,Pollyanna.Orelee@jbu.edu,Professor,Sciences
249,Lorenza,Niles,Lorenza.Niles@jbu.edu,Professor,Politics
250,Coral,Gavrila,Coral.Gavrila@jbu.edu,Applicant,Religion
251,Sharai,Maxi,Sharai.Maxi@jbu.edu,Student,Computer Science
252,Alexine,Stelle,Alexine.Stelle@jbu.edu,Student,Religion
253,Arabel,Westphal,Arabel.Westphal@jbu.edu,Applicant,Politics
254,Tabbatha,Sprage,Tabbatha.Sprage@jbu.edu,Professor,Nursing
255,Lorie,Knowling,Lorie.Knowling@jbu.edu,Employee,Politics
256,Neila,Chobot,Neila.Chobot@jbu.edu,Student,Politics
257,Bee,Kirbee,Bee.Kirbee@jbu.edu,Applicant,Religion
258,Desirae,Susannah,Desirae.Susannah@jbu.edu,Student,Kinesiology
259,Sibella,Gombach,Sibella.Gombach@jbu.edu,Professor,Nursing
260,Charmaine,Cornelia,Charmaine.Cornelia@jbu.edu,Student,Business
261,Lindie,Laverne,Lindie.Laverne@jbu.edu,Applicant,Mathematics
262,Carilyn,Killigrew,Carilyn.Killigrew@jbu.edu,Professor,Computer Science
263,Julieta,Nikaniki,Julieta.Nikaniki@jbu.edu,Employee,Computer Science
264,Margette,Lunsford,Margette.Lunsford@jbu.edu,Student,Kinesiology
265,Amara,Gwenore,Amara.Gwenore@jbu.edu,Employee,Computer Science
266,Ashlee,Gaulin,Ashlee.Gaulin@jbu.edu,Professor,Sciences
267,Elmira,Allys,Elmira.Allys@jbu.edu,Student,Nursing
268,Edyth,Brotherson,Edyth.Brotherson@jbu.edu,Employee,Politics
269,Beatriz,Ardra,Beatriz.Ardra@jbu.edu,Student,Computer Science
270,Christal,Chauncey,Christal.Chauncey@jbu.edu,Professor,Computer Science
271,Vanessa,Ciapas,Vanessa.Ciapas@jbu.edu,Student,Business
272,Marinna,Francyne,Marinna.Francyne@jbu.edu,Professor,Business
273,Myriam,Elsinore,Myriam.Elsinore@jbu.edu,Applicant,Politics
274,Tamqrah,Kenney,Tamqrah.Kenney@jbu.edu,Applicant,Religion
275,Debee,Sophronia,Debee.Sophronia@jbu.edu,Professor,Religion
276,Marsiella,Berl,Marsiella.Berl@jbu.edu,Applicant,Sciences
277,Malina,Dorcy,Malina.Dorcy@jbu.edu,Employee,Business
278,Anica,Ries,Anica.Ries@jbu.edu,Employee,Nursing
279,Kelly,Bigner,Kelly.Bigner@jbu.edu,Employee,Religion
280,Ruthe,Ader,Ruthe.Ader@jbu.edu,Professor,Politics
281,Meg,Kauppi,Meg.Kauppi@jbu.edu,Applicant,Religion
282,Brandise,Gladstone,Brandise.Gladstone@jbu.edu,Professor,Engineering
283,Maye,Brenn,Maye.Brenn@jbu.edu,Professor,Religion
284,Corly,Orlene,Corly.Orlene@jbu.edu,Student,Kinesiology
285,Leia,Agle,Leia.Agle@jbu.edu,Professor,Sciences
286,Bobbi,Frendel,Bobbi.Frendel@jbu.edu,Student,Politics
287,Imojean,Hanleigh,Imojean.Hanleigh@jbu.edu,Applicant,Mathematics
288,Adelle,Bollay,Adelle.Bollay@jbu.edu,Applicant,Religion
289,Sidoney,Cornelia,Sidoney.Cornelia@jbu.edu,Employee,Business
290,Aurelie,Wenoa,Aurelie.Wenoa@jbu.edu,Employee,Sciences
291,Sherrie,Peonir,Sherrie.Peonir@jbu.edu,Applicant,Politics
292,Rosene,Blisse,Rosene.Blisse@jbu.edu,Professor,Nursing
293,Briney,Kesley,Briney.Kesley@jbu.edu,Applicant,Kinesiology
294,Tera,Raul,Tera.Raul@jbu.edu,Professor,Kinesiology
295,Beatriz,Carri,Beatriz.Carri@jbu.edu,Employee,Nursing
296,Barbara,Gavrila,Barbara.Gavrila@jbu.edu,Employee,Computer Science
297,Brianna,Tound,Brianna.Tound@jbu.edu,Applicant,Engineering
298,Gusty,Anton,Gusty.Anton@jbu.edu,Applicant,Sciences
299,Patricia,Dituri,Patricia.Dituri@jbu.edu,Professor,Business
300,Rhoda,Nore,Rhoda.Nore@jbu.edu,Employee,Nursing
301,Maye,Chobot,Maye.Chobot@jbu.edu,Professor,Engineering
302,Darci,Ummersen,Darci.Ummersen@jbu.edu,Employee,Religion
303,Rubie,Kare,Rubie.Kare@jbu.edu,Employee,Mathematics
304,Rhea,Cristi,Rhea.Cristi@jbu.edu,Applicant,Nursing
305,Lanna,Gordon,Lanna.Gordon@jbu.edu,Student,Politics
306,Sue,Prober,Sue.Prober@jbu.edu,Employee,Nursing
307,Florie,Alejoa,Florie.Alejoa@jbu.edu,Professor,Business
308,Rani,Charity,Rani.Charity@jbu.edu,Professor,Mathematics
309,Nannie,Lorenz,Nannie.Lorenz@jbu.edu,Student,Kinesiology
310,Heddie,Carvey,Heddie.Carvey@jbu.edu,Employee,Nursing
311,Coral,Harriman,Coral.Harriman@jbu.edu,Applicant,Sciences
312,Catharine,Read,Catharine.Read@jbu.edu,Applicant,Computer Science
313,Gerrie,Amasa,Gerrie.Amasa@jbu.edu,Employee,Religion
314,Lyssa,Graig,Lyssa.Graig@jbu.edu,Applicant,Kinesiology
315,Frances,Haldas,Frances.Haldas@jbu.edu,Professor,Kinesiology
316,Jean,Burch,Jean.Burch@jbu.edu,Employee,Nursing
317,Sindee,Lalitta,Sindee.Lalitta@jbu.edu,Professor,Kinesiology
318,Cam,Casimir,Cam.Casimir@jbu.edu,Student,Engineering
319,Leontine,Zitvaa,Leontine.Zitvaa@jbu.edu,Employee,Nursing
320,Doro,Nadia,Doro.Nadia@jbu.edu,Applicant,Kinesiology
321,Dominga,Hanshaw,Dominga.Hanshaw@jbu.edu,Student,Religion
322,Tierney,Dex,Tierney.Dex@jbu.edu,Student,Sciences
323,Lelah,Hertzfeld,Lelah.Hertzfeld@jbu.edu,Professor,Nursing
324,Josephine,Meter,Josephine.Meter@jbu.edu,Student,Politics
325,Tera,Suanne,Tera.Suanne@jbu.edu,Applicant,Engineering
326,Tierney,Gilmour,Tierney.Gilmour@jbu.edu,Student,Religion
327,Modestia,Lesley,Modestia.Lesley@jbu.edu,Professor,Sciences
328,Karena,Alva,Karena.Alva@jbu.edu,Professor,Religion
329,Bernardine,Adrienne,Bernardine.Adrienne@jbu.edu,Applicant,Politics
330,Laurene,Olympium,Laurene.Olympium@jbu.edu,Applicant,Computer Science
331,Ida,Forrer,Ida.Forrer@jbu.edu,Student,Engineering
332,Dominga,Capello,Dominga.Capello@jbu.edu,Student,Nursing
333,Anica,Alrich,Anica.Alrich@jbu.edu,Applicant,Computer Science
334,Silvana,Sasnett,Silvana.Sasnett@jbu.edu,Applicant,Religion
335,Ulrike,Wilkinson,Ulrike.Wilkinson@jbu.edu,Employee,Sciences
336,Laurene,Philoo,Laurene.Philoo@jbu.edu,Student,Nursing
337,Nyssa,Ball,Nyssa.Ball@jbu.edu,Employee,Nursing
338,Dawn,Devlen,Dawn.Devlen@jbu.edu,Professor,Kinesiology
339,Myrtice,Weitman,Myrtice.Weitman@jbu.edu,Student,Business
340,Paule,Ovid,Paule.Ovid@jbu.edu,Employee,Nursing
341,Cindelyn,Elsinore,Cindelyn.Elsinore@jbu.edu,Applicant,Religion
342,Mady,Caitlin,Mady.Caitlin@jbu.edu,Applicant,Sciences
343,Lynnea,Brunell,Lynnea.Brunell@jbu.edu,Applicant,Computer Science
344,Dede,Selway,Dede.Selway@jbu.edu,Student,Mathematics
345,Viviene,Caitlin,Viviene.Caitlin@jbu.edu,Professor,Mathematics
346,Aimil,Erminia,Aimil.Erminia@jbu.edu,Employee,Computer Science
347,Dode,Nisbet,Dode.Nisbet@jbu.edu,Professor,Business
348,Vanessa,Baylor,Vanessa.Baylor@jbu.edu,Student,Religion
349,Zondra,Jethro,Zondra.Jethro@jbu.edu,Employee,Engineering
350,Eve,Lia,Eve.Lia@jbu.edu,Employee,Nursing
351,Valera,Behre,Valera.Behre@jbu.edu,Professor,Engineering
352,Jerry,Mich,Jerry.Mich@jbu.edu,Professor,Politics
353,Ursulina,Garrison,Ursulina.Garrison@jbu.edu,Professor,Engineering
354,Dotty,Stoller,Dotty.Stoller@jbu.edu,Applicant,Politics
355,Drucie,Toni,Drucie.Toni@jbu.edu,Professor,Engineering
356,Binny,Jillane,Binny.Jillane@jbu.edu,Employee,Engineering
357,Di,Brotherson,Di.Brotherson@jbu.edu,Student,Mathematics
358,Stephanie,Nea,Stephanie.Nea@jbu.edu,Employee,Mathematics
359,Fawne,Carmena,Fawne.Carmena@jbu.edu,Employee,Computer Science
360,Oralee,Sisile,Oralee.Sisile@jbu.edu,Employee,Politics
361,Sherrie,Curren,Sherrie.Curren@jbu.edu,Applicant,Religion
362,Elka,Ciapas,Elka.Ciapas@jbu.edu,Student,Mathematics
363,Phylis,Si,Phylis.Si@jbu.edu,Professor,Business
364,Kalina,Cohdwell,Kalina.Cohdwell@jbu.edu,Student,Engineering
365,Fredericka,Codding,Fredericka.Codding@jbu.edu,Applicant,Computer Science
366,Madalyn,Sisile,Madalyn.Sisile@jbu.edu,Applicant,Politics
367,Elvira,Darian,Elvira.Darian@jbu.edu,Student,Politics
368,Susette,Sheedy,Susette.Sheedy@jbu.edu,Employee,Nursing
369,Ingrid,Greyson,Ingrid.Greyson@jbu.edu,Employee,Nursing
370,Cyndie,Saint,Cyndie.Saint@jbu.edu,Applicant,Mathematics
371,Teddie,Colleen,Teddie.Colleen@jbu.edu,Professor,Engineering
372,Iseabal,Seagraves,Iseabal.Seagraves@jbu.edu,Employee,Kinesiology
373,Sidoney,Bultman,Sidoney.Bultman@jbu.edu,Professor,Nursing
374,Antonietta,Leonard,Antonietta.Leonard@jbu.edu,Student,Mathematics
375,Karena,Annice,Karena.Annice@jbu.edu,Applicant,Religion
376,Karena,Fleeta,Karena.Fleeta@jbu.edu,Student,Politics
377,Nelle,Weaks,Nelle.Weaks@jbu.edu,Employee,Nursing
378,Chloris,Donell,Chloris.Donell@jbu.edu,Employee,Religion
379,Gratia,Rozanna,Gratia.Rozanna@jbu.edu,Employee,Nursing
380,Edyth,Zeeba,Edyth.Zeeba@jbu.edu,Student,Kinesiology
381,Verla,Frendel,Verla.Frendel@jbu.edu,Student,Politics
382,Bernie,Earlie,Bernie.Earlie@jbu.edu,Student,Politics
383,Corry,Ludewig,Corry.Ludewig@jbu.edu,Applicant,Sciences
384,Fredericka,Gaal,Fredericka.Gaal@jbu.edu,Professor,Mathematics
385,Anestassia,Stefa,Anestassia.Stefa@jbu.edu,Student,Engineering
386,Aimil,Dimitris,Aimil.Dimitris@jbu.edu,Professor,Kinesiology
387,Hettie,Grosz,Hettie.Grosz@jbu.edu,Student,Politics
388,Coral,Remmer,Coral.Remmer@jbu.edu,Student,Computer Science
389,Katuscha,Marlie,Katuscha.Marlie@jbu.edu,Professor,Engineering
390,Lauryn,Norvol,Lauryn.Norvol@jbu.edu,Applicant,Nursing
391,Glynnis,Baylor,Glynnis.Baylor@jbu.edu,Student,Sciences
392,Raf,Brandice,Raf.Brandice@jbu.edu,Professor,Sciences
393,Kittie,Niles,Kittie.Niles@jbu.edu,Student,Politics
394,Jasmina,Delila,Jasmina.Delila@jbu.edu,Student,Politics
395,Jillayne,Guildroy,Jillayne.Guildroy@jbu.edu,Student,Engineering
396,Pamella,Roumell,Pamella.Roumell@jbu.edu,Professor,Religion
397,Blondelle,Adlare,Blondelle.Adlare@jbu.edu,Applicant,Mathematics
398,Noelle,Ferrell,Noelle.Ferrell@jbu.edu,Employee,Sciences
399,Cyndie,Lumbard,Cyndie.Lumbard@jbu.edu,Student,Religion
400,Clarice,Dom,Clarice.Dom@jbu.edu,Employee,Computer Science
401,Daryl,Israeli,Daryl.Israeli@jbu.edu,Applicant,Religion
402,Lauryn,Millda,Lauryn.Millda@jbu.edu,Student,Politics
403,Celene,Atonsah,Celene.Atonsah@jbu.edu,Applicant,Mathematics
404,Merrie,Edvard,Merrie.Edvard@jbu.edu,Applicant,Business
405,Bobinette,Shaddock,Bobinette.Shaddock@jbu.edu,Professor,Engineering
406,Ayn,Duwalt,Ayn.Duwalt@jbu.edu,Professor,Business
407,Leontine,Marden,Leontine.Marden@jbu.edu,Student,Nursing
408,Tabbatha,Decato,Tabbatha.Decato@jbu.edu,Employee,Sciences
409,Cathyleen,Carolin,Cathyleen.Carolin@jbu.edu,Student,Nursing
410,Frances,Graig,Frances.Graig@jbu.edu,Employee,Politics
411,Teddie,Tjon,Teddie.Tjon@jbu.edu,Applicant,Engineering
412,Tomasina,Azeria,Tomasina.Azeria@jbu.edu,Professor,Religion
413,Georgetta,Arvo,Georgetta.Arvo@jbu.edu,Student,Engineering
414,Tarra,Casimir,Tarra.Casimir@jbu.edu,Student,Nursing
415,Berget,Stilwell,Berget.Stilwell@jbu.edu,Applicant,Mathematics
416,Demetris,Santoro,Demetris.Santoro@jbu.edu,Employee,Politics
417,Lanae,Bluh,Lanae.Bluh@jbu.edu,Student,Engineering
418,Emilia,Celestine,Emilia.Celestine@jbu.edu,Professor,Kinesiology
419,Jillayne,Blase,Jillayne.Blase@jbu.edu,Student,Mathematics
420,Binny,Amasa,Binny.Amasa@jbu.edu,Employee,Business
421,Arlena,Raychel,Arlena.Raychel@jbu.edu,Professor,Business
422,Abbie,Cadmar,Abbie.Cadmar@jbu.edu,Professor,Business
423,Gui,Keelia,Gui.Keelia@jbu.edu,Professor,Kinesiology
424,Fred,Tyson,Fred.Tyson@jbu.edu,Professor,Religion
425,Nickie,Willie,Nickie.Willie@jbu.edu,Professor,Engineering
426,Malina,Rosemary,Malina.Rosemary@jbu.edu,Professor,Engineering
427,Chandra,Oneida,Chandra.Oneida@jbu.edu,Student,Kinesiology
428,Roslyn,Gower,Roslyn.Gower@jbu.edu,Applicant,Politics
429,Kaja,Lacombe,Kaja.Lacombe@jbu.edu,Professor,Politics
430,Hayley,Fry,Hayley.Fry@jbu.edu,Applicant,Politics
431,Goldie,Destinee,Goldie.Destinee@jbu.edu,Employee,Kinesiology
432,Berget,Gaal,Berget.Gaal@jbu.edu,Applicant,Religion
433,Giustina,Margarete,Giustina.Margarete@jbu.edu,Student,Computer Science
434,Jaclyn,Millda,Jaclyn.Millda@jbu.edu,Applicant,Politics
435,Kathi,Serilda,Kathi.Serilda@jbu.edu,Student,Mathematics
436,Gretal,Nerita,Gretal.Nerita@jbu.edu,Professor,Kinesiology
437,Kayla,Camden,Kayla.Camden@jbu.edu,Applicant,Sciences
438,Maryellen,Lorenz,Maryellen.Lorenz@jbu.edu,Student,Computer Science
439,Lily,Seligman,Lily.Seligman@jbu.edu,Student,Sciences
440,Lyssa,Ries,Lyssa.Ries@jbu.edu,Professor,Kinesiology
441,Mariann,Armanda,Mariann.Armanda@jbu.edu,Professor,Engineering
442,Nicoli,Oster,Nicoli.Oster@jbu.edu,Applicant,Politics
443,Evita,Hamil,Evita.Hamil@jbu.edu,Employee,Business
444,Kassey,Emanuel,Kassey.Emanuel@jbu.edu,Student,Engineering
445,Clary,Jotham,Clary.Jotham@jbu.edu,Employee,Mathematics
446,Katleen,Burnside,Katleen.Burnside@jbu.edu,Student,Engineering
447,Philis,Shields,Philis.Shields@jbu.edu,Applicant,Politics
448,Nariko,Chick,Nariko.Chick@jbu.edu,Applicant,Nursing
449,Queenie,Rubie,Queenie.Rubie@jbu.edu,Applicant,Mathematics
450,Lusa,Fulmer,Lusa.Fulmer@jbu.edu,Applicant,Nursing
451,Kassey,Tiffa,Kassey.Tiffa@jbu.edu,Student,Business
452,Anica,Thar,Anica.Thar@jbu.edu,Applicant,Politics
453,Zondra,Grobe,Zondra.Grobe@jbu.edu,Student,Computer Science
454,Sabina,Edvard,Sabina.Edvard@jbu.edu,Employee,Sciences
455,Lucille,Leary,Lucille.Leary@jbu.edu,Professor,Computer Science
456,Rochette,Dalli,Rochette.Dalli@jbu.edu,Employee,Nursing
457,Belinda,Old,Belinda.Old@jbu.edu,Employee,Engineering
458,Violet,Francyne,Violet.Francyne@jbu.edu,Professor,Nursing
459,Oralee,Emerson,Oralee.Emerson@jbu.edu,Employee,Religion
460,Phylis,Lane,Phylis.Lane@jbu.edu,Professor,Sciences
461,Olwen,Madelene,Olwen.Madelene@jbu.edu,Student,Business
462,Dominga,Tengdin,Dominga.Tengdin@jbu.edu,Applicant,Nursing
463,Brana,Reidar,Brana.Reidar@jbu.edu,Applicant,Religion
464,Jenda,Giule,Jenda.Giule@jbu.edu,Applicant,Sciences
465,Ursulina,Lewes,Ursulina.Lewes@jbu.edu,Applicant,Religion
466,Chastity,Yorick,Chastity.Yorick@jbu.edu,Employee,Business
467,Alexine,Audly,Alexine.Audly@jbu.edu,Applicant,Religion
